trace,cell,target,seed,iteration,policy,window,requested_tokens,avoided_tokens,pi0_avoided_tokens,delta_tokens_vs_pi0,delta_input_token_points_vs_pi0,terminal_common_population_ranking_delta,ranking_utility_sign_agreement
conversation_trace,"l1=0.0025,l2x1",binary,2,2,pi2,full,58742117,2694174,3273758,-579584,-0.9866583460041115,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,2,2,pi2,label,32962016,1542144,1949184,-407040,-1.2348759250647776,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,2,3,pi3,full,58742117,2707998,3273758,-565760,-0.9631249755605505,-0.19314025576371802,same
conversation_trace,"l1=0.0025,l2x1",binary,2,3,pi3,label,32962016,1529856,1949184,-419328,-1.2721551982742803,-0.19314025576371802,same
conversation_trace,"l1=0.0025,l2x1",binary,3,0,pi0,full,58742117,3270174,3270174,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,0,pi0,label,32962016,1938944,1938944,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,1,pi1,full,58742117,2974750,3270174,-295424,-0.5029168424420251,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,1,pi1,label,32962016,1708032,1938944,-230912,-0.7005396757285719,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,2,pi2,full,58742117,2713630,3270174,-556544,-0.9474360619315099,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,2,pi2,label,32962016,1553920,1938944,-385024,-1.1680838938977518,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,3,3,pi3,full,58742117,2715678,3270174,-554496,-0.9439496366806119,-0.1870355237103587,same
conversation_trace,"l1=0.0025,l2x1",binary,3,3,pi3,label,32962016,1531392,1938944,-407552,-1.2364292281151736,-0.1870355237103587,same
conversation_trace,"l1=0.0025,l2x1",binary,4,0,pi0,full,58742117,3257886,3257886,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,0,pi0,label,32962016,1946112,1946112,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,1,pi1,full,58742117,2943518,3257886,-314368,-0.5351662760128308,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,1,pi1,label,32962016,1680896,1946112,-265216,-0.8046109801051003,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,2,pi2,full,58742117,2710558,3257886,-547328,-0.9317471483024693,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,2,pi2,label,32962016,1558528,1946112,-387584,-1.1758504091497317,,not_applicable
conversation_trace,"l1=0.0025,l2x1",binary,4,3,pi3,full,58742117,2723358,3257886,-534528,-0.9099569904843573,-0.20762372401524676,same
conversation_trace,"l1=0.0025,l2x1",binary,4,3,pi3,label,32962016,1528832,1946112,-417280,-1.2659419860726966,-0.20762372401524676,same
conversation_trace,"l1=0.0025,l2x1",next_use,0,0,pi0,full,58742117,3525662,3525662,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,0,pi0,label,32962016,2133504,2133504,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,1,pi1,full,58742117,3251672,3525662,-273990,-0.46642854223316466,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,1,pi1,label,32962016,1888637,2133504,-244867,-0.7428762852369224,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,2,pi2,full,58742117,3152097,3525662,-373565,-0.6359406488533602,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,2,pi2,label,32962016,1838080,2133504,-295424,-0.8962558600784613,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,0,3,pi3,full,58742117,3065450,3525662,-460212,-0.7834446960772626,-0.15341382924774966,same
conversation_trace,"l1=0.0025,l2x1",next_use,0,3,pi3,label,32962016,1777664,2133504,-355840,-1.079545620025183,-0.15341382924774966,same
conversation_trace,"l1=0.0025,l2x1",next_use,1,0,pi0,full,58742117,3575838,3575838,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,0,pi0,label,32962016,2138112,2138112,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,1,pi1,full,58742117,3228120,3575838,-347718,-0.5919398512654898,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,1,pi1,label,32962016,1890685,2138112,-247427,-0.7506428004889021,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,2,pi2,full,58742117,3166945,3575838,-408893,-0.6960814844313493,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,2,pi2,label,32962016,1847296,2138112,-290816,-0.8822761326248977,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,1,3,pi3,full,58742117,3069034,3575838,-506804,-0.8627608705351902,-0.16059667623760818,same
conversation_trace,"l1=0.0025,l2x1",next_use,1,3,pi3,label,32962016,1777152,2138112,-360960,-1.0950786505291423,-0.16059667623760818,same
conversation_trace,"l1=0.0025,l2x1",next_use,2,0,pi0,full,58742117,3569182,3569182,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,0,pi0,label,32962016,2146304,2146304,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,1,pi1,full,58742117,3218407,3569182,-350775,-0.5971439538006436,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,1,pi1,label,32962016,1885565,2146304,-260739,-0.7910286797991968,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,2,pi2,full,58742117,3148001,3569182,-421181,-0.7170000359367369,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,2,pi2,label,32962016,1844736,2146304,-301568,-0.9148954966832126,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,2,3,pi3,full,58742117,3071082,3569182,-498100,-0.8479435632188741,-0.16452714868769727,same
conversation_trace,"l1=0.0025,l2x1",next_use,2,3,pi3,label,32962016,1785856,2146304,-360448,-1.0935253474787465,-0.16452714868769727,same
conversation_trace,"l1=0.0025,l2x1",next_use,3,0,pi0,full,58742117,3572766,3572766,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,0,pi0,label,32962016,2154496,2154496,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,1,pi1,full,58742117,3273310,3572766,-299456,-0.5097807421547303,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,1,pi1,label,32962016,1909117,2154496,-245379,-0.7444295882873183,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,2,pi2,full,58742117,3128426,3572766,-444340,-0.7564249003828037,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,2,pi2,label,32962016,1812480,2154496,-342016,-1.0376064376644925,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,3,3,pi3,full,58742117,3081191,3572766,-491575,-0.8368356897998757,-0.13318988445251526,same
conversation_trace,"l1=0.0025,l2x1",next_use,3,3,pi3,label,32962016,1785213,2154496,-369283,-1.1203289264831375,-0.13318988445251526,same
conversation_trace,"l1=0.0025,l2x1",next_use,4,0,pi0,full,58742117,3541022,3541022,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,0,pi0,label,32962016,2128384,2128384,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,1,pi1,full,58742117,3263975,3541022,-277047,-0.47163264476831845,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,1,pi1,label,32962016,1916285,2128384,-212099,-0.6434648900115818,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,2,pi2,full,58742117,3164571,3541022,-376451,-0.6408536484989126,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,2,pi2,label,32962016,1852285,2128384,-276099,-0.8376277713110751,,not_applicable
conversation_trace,"l1=0.0025,l2x1",next_use,4,3,pi3,full,58742117,3139690,3541022,-401332,-0.6832099701139474,-0.17853521648759652,same
conversation_trace,"l1=0.0025,l2x1",next_use,4,3,pi3,label,32962016,1817088,2128384,-311296,-0.9444082546407355,-0.17853521648759652,same
conversation_trace,"l1=0.0025,l2x4",binary,0,0,pi0,full,58742117,5761566,5761566,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,0,pi0,label,32962016,3423744,3423744,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,1,pi1,full,58742117,4815770,5761566,-945796,-1.610081570604614,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,1,pi1,label,32962016,2767872,3423744,-655872,-1.9897812075572077,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,2,pi2,full,58742117,4744734,5761566,-1016832,-1.7310101370708175,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,2,pi2,label,32962016,2836480,3423744,-587264,-1.7816385988041508,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,0,3,pi3,full,58742117,4665886,5761566,-1095680,-1.8652375092303874,-0.09544763598450878,same
conversation_trace,"l1=0.0025,l2x4",binary,0,3,pi3,label,32962016,2676736,3423744,-747008,-2.266269150527686,-0.09544763598450878,same
conversation_trace,"l1=0.0025,l2x4",binary,1,0,pi0,full,58742117,5749278,5749278,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,0,pi0,label,32962016,3404288,3404288,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,1,pi1,full,58742117,4924826,5749278,-824452,-1.4035108744889122,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,1,pi1,label,32962016,2807296,3404288,-596992,-1.8111513567616737,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,2,pi2,full,58742117,4799518,5749278,-949760,-1.6168297101039106,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,2,pi2,label,32962016,2859520,3404288,-544768,-1.6527144456212872,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,1,3,pi3,full,58742117,4626462,5749278,-1122816,-1.9114326438047848,-0.08905416502768071,same
conversation_trace,"l1=0.0025,l2x4",binary,1,3,pi3,label,32962016,2643456,3404288,-760832,-2.308208332888377,-0.08905416502768071,same
conversation_trace,"l1=0.0025,l2x4",binary,2,0,pi0,full,58742117,5685790,5685790,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,0,pi0,label,32962016,3357696,3357696,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,1,pi1,full,58742117,4759318,5685790,-926472,-1.5771852417235832,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,1,pi1,label,32962016,2740736,3357696,-616960,-1.8717301757271156,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,2,pi2,full,58742117,4677150,5685790,-1008640,-1.7170644360672258,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,2,pi2,label,32962016,2725888,3357696,-631808,-1.9167759641885982,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,2,3,pi3,full,58742117,4583966,5685790,-1101824,-1.8756967849830812,-0.10446101119470719,same
conversation_trace,"l1=0.0025,l2x4",binary,2,3,pi3,label,32962016,2636800,3357696,-720896,-2.187050694957493,-0.10446101119470719,same
conversation_trace,"l1=0.0025,l2x4",binary,3,0,pi0,full,58742117,5789726,5789726,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,0,pi0,label,32962016,3443712,3443712,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,1,pi1,full,58742117,4849562,5789726,-940164,-1.6004939011646448,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,1,pi1,label,32962016,2790400,3443712,-653312,-1.982014692305228,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,2,pi2,full,58742117,4782110,5789726,-1007616,-1.715321223441777,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,2,pi2,label,32962016,2847232,3443712,-596480,-1.809598053711278,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,3,3,pi3,full,58742117,4578846,5789726,-1210880,-2.0613489295933953,-0.09039964859792993,same
conversation_trace,"l1=0.0025,l2x4",binary,3,3,pi3,label,32962016,2657280,3443712,-786432,-2.3858734854081742,-0.09039964859792993,same
conversation_trace,"l1=0.0025,l2x4",binary,4,0,pi0,full,58742117,5732894,5732894,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,0,pi0,label,32962016,3358208,3358208,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,1,pi1,full,58742117,4782490,5732894,-950404,-1.6179260274191345,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,1,pi1,label,32962016,2701312,3358208,-656896,-1.9928878136579995,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,2,pi2,full,58742117,4774942,5732894,-957952,-1.6307754111075023,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,2,pi2,label,32962016,2838016,3358208,-520192,-1.5781558992022817,,not_applicable
conversation_trace,"l1=0.0025,l2x4",binary,4,3,pi3,full,58742117,4564510,5732894,-1168384,-1.9890056056372636,-0.0972190568795328,same
conversation_trace,"l1=0.0025,l2x4",binary,4,3,pi3,label,32962016,2610176,3358208,-748032,-2.2693757566284782,-0.0972190568795328,same
conversation_trace,"l1=0.0025,l2x4",next_use,0,0,pi0,full,58742117,5823006,5823006,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,0,pi0,label,32962016,3358208,3358208,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,1,pi1,full,58742117,5595085,5823006,-227921,-0.3880027000048364,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,1,pi1,label,32962016,3338223,3358208,-19985,-0.060630393480787095,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,2,pi2,full,58742117,5447774,5823006,-375232,-0.6387784764379534,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,2,pi2,label,32962016,3183485,3358208,-174723,-0.5300737673326777,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,0,3,pi3,full,58742117,5411290,5823006,-411716,-0.7008872356438908,-0.12209530196384254,same
conversation_trace,"l1=0.0025,l2x4",next_use,0,3,pi3,label,32962016,3101679,3358208,-256529,-0.7782564027637144,-0.12209530196384254,same
conversation_trace,"l1=0.0025,l2x4",next_use,1,0,pi0,full,58742117,5832222,5832222,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,0,pi0,label,32962016,3382784,3382784,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,1,pi1,full,58742117,5602253,5832222,-229969,-0.3914891252557343,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,1,pi1,label,32962016,3309039,3382784,-73745,-0.2237272137723615,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,2,pi2,full,58742117,5360222,5832222,-472000,-0.8035120695428801,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,2,pi2,label,32962016,3085181,3382784,-297603,-0.9028664994277049,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,1,3,pi3,full,58742117,5567448,5832222,-264774,-0.45073962860412403,-0.129220628328638,same
conversation_trace,"l1=0.0025,l2x4",next_use,1,3,pi3,label,32962016,3190653,3382784,-192131,-0.5828860710461399,-0.129220628328638,same
conversation_trace,"l1=0.0025,l2x4",next_use,2,0,pi0,full,58742117,5789214,5789214,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,0,pi0,label,32962016,3340288,3340288,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,1,pi1,full,58742117,5634509,5789214,-154705,-0.2633629972852357,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,1,pi1,label,32962016,3381231,3340288,40943,0.12421266951633056,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,2,pi2,full,58742117,5450319,5789214,-338895,-0.5769199635757084,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,2,pi2,label,32962016,3209597,3340288,-130691,-0.3964897049986263,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,2,3,pi3,full,58742117,5369816,5789214,-419398,-0.713964735046917,-0.11351782710231305,same
conversation_trace,"l1=0.0025,l2x4",next_use,2,3,pi3,label,32962016,3108733,3340288,-231555,-0.7024904059266278,-0.11351782710231305,same
conversation_trace,"l1=0.0025,l2x4",next_use,3,0,pi0,full,58742117,5804062,5804062,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,0,pi0,label,32962016,3353600,3353600,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,1,pi1,full,58742117,5515213,5804062,-288849,-0.49172385121904955,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,1,pi1,label,32962016,3229679,3353600,-123921,-0.37595091271116426,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,2,pi2,full,58742117,5387358,5804062,-416704,-0.7093785877686363,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,2,pi2,label,32962016,3086717,3353600,-266883,-0.8096683164039481,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,3,3,pi3,full,58742117,5456065,5804062,-347997,-0.5924148086116815,-0.14251505457494684,same
conversation_trace,"l1=0.0025,l2x4",next_use,3,3,pi3,label,32962016,3174895,3353600,-178705,-0.5421543391035306,-0.14251505457494684,same
conversation_trace,"l1=0.0025,l2x4",next_use,4,0,pi0,full,58742117,5767710,5767710,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,0,pi0,label,32962016,3316224,3316224,0,0.0,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,1,pi1,full,58742117,5392333,5767710,-375377,-0.6390253180694867,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,1,pi1,label,32962016,3192303,3316224,-123921,-0.37595091271116426,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,2,pi2,full,58742117,5429854,5767710,-337856,-0.5751512156090663,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,2,pi2,label,32962016,3125117,3316224,-191107,-0.579779464945348,,not_applicable
conversation_trace,"l1=0.0025,l2x4",next_use,4,3,pi3,full,58742117,5441729,5767710,-325981,-0.5549357371645288,-0.13092801350366615,same
conversation_trace,"l1=0.0025,l2x4",next_use,4,3,pi3,label,32962016,3099119,3316224,-217105,-0.6586520678832266,-0.13092801350366615,same
conversation_trace,"l1=0.01,l2x1",binary,0,0,pi0,full,58742117,6531948,6531948,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,0,pi0,label,32962016,3903368,3903368,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,1,pi1,full,58742117,5652332,6531948,-879616,-1.4974196452606567,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,1,pi1,label,32962016,3277704,3903368,-625664,-1.8981363275838468,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,2,pi2,full,58742117,5281644,6531948,-1250304,-2.1284626156731803,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,2,pi2,label,32962016,3173256,3903368,-730112,-2.2150101498646197,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,0,3,pi3,full,58742117,5468524,6531948,-1063424,-1.8103263115287451,-0.02811523094819235,same
conversation_trace,"l1=0.01,l2x1",binary,0,3,pi3,label,32962016,3146632,3903368,-756736,-2.295781908485209,-0.02811523094819235,same
conversation_trace,"l1=0.01,l2x1",binary,1,0,pi0,full,58742117,6541164,6541164,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,0,pi0,label,32962016,3922824,3922824,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,1,pi1,full,58742117,5782892,6541164,-758272,-1.290848949144955,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,1,pi1,label,32962016,3395464,3922824,-527360,-1.599902141907825,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,2,pi2,full,58742117,5499756,6541164,-1041408,-1.7728472400815927,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,2,pi2,label,32962016,3280776,3922824,-642048,-1.9478420251965172,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,1,3,pi3,full,58742117,5464940,6541164,-1076224,-1.8321164693468572,-0.015221566661638652,same
conversation_trace,"l1=0.01,l2x1",binary,1,3,pi3,label,32962016,3218824,3922824,-704000,-2.1357916942944266,-0.015221566661638652,same
conversation_trace,"l1=0.01,l2x1",binary,2,0,pi0,full,58742117,6538092,6538092,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,0,pi0,label,32962016,3905928,3905928,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,1,pi1,full,58742117,5829484,6538092,-708608,-1.2063031368106805,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,1,pi1,label,32962016,3465096,3905928,-440832,-1.33739392639091,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,2,pi2,full,58742117,5500268,6538092,-1037824,-1.7667459958925211,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,2,pi2,label,32962016,3302280,3905928,-603648,-1.8313442964168212,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,2,3,pi3,full,58742117,5377388,6538092,-1160704,-1.9759315109463964,-0.03725927720738531,same
conversation_trace,"l1=0.01,l2x1",binary,2,3,pi3,label,32962016,3089800,3905928,-816128,-2.475965062331139,-0.03725927720738531,same
conversation_trace,"l1=0.01,l2x1",binary,3,0,pi0,full,58742117,6518124,6518124,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,0,pi0,label,32962016,3905928,3905928,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,1,pi1,full,58742117,5655784,6518124,-862340,-1.4680097416305238,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,1,pi1,label,32962016,3350408,3905928,-555520,-1.6853338096796022,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,2,pi2,full,58742117,5429100,6518124,-1089024,-1.8539066271649691,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,2,pi2,label,32962016,3207048,3905928,-698880,-2.1202586637904672,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,3,3,pi3,full,58742117,5475692,6518124,-1042432,-1.7745904527070415,-0.019198021408867505,same
conversation_trace,"l1=0.01,l2x1",binary,3,3,pi3,label,32962016,3161992,3905928,-743936,-2.2569493322253105,-0.019198021408867505,same
conversation_trace,"l1=0.01,l2x1",binary,4,0,pi0,full,58742117,6500716,6500716,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,0,pi0,label,32962016,3902856,3902856,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,1,pi1,full,58742117,5678754,6500716,-821962,-1.3992720078508576,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,1,pi1,label,32962016,3343240,3902856,-559616,-1.6977602340827698,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,2,pi2,full,58742117,5103980,6500716,-1396736,-2.3777420211123816,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,2,pi2,label,32962016,2968456,3902856,-934400,-2.8347780669726026,,not_applicable
conversation_trace,"l1=0.01,l2x1",binary,4,3,pi3,full,58742117,5421932,6500716,-1078784,-1.8364745009104797,-0.019979105009573783,same
conversation_trace,"l1=0.01,l2x1",binary,4,3,pi3,label,32962016,3095944,3902856,-806912,-2.4480056074240117,-0.019979105009573783,same
conversation_trace,"l1=0.01,l2x1",next_use,0,0,pi0,full,58742117,6638444,6638444,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,0,pi0,label,32962016,3888520,3888520,0,0.0,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,1,pi1,full,58742117,6392658,6638444,-245786,-0.4184152913658185,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,1,pi1,label,32962016,3834874,3888520,-53646,-0.16275096765925967,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,2,pi2,full,58742117,6140387,6638444,-498057,-0.8478703619074539,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,2,pi2,label,32962016,3672968,3888520,-215552,-0.6539405842166935,,not_applicable
conversation_trace,"l1=0.01,l2x1",next_use,0,3,pi3,full,58742117,6230998,6638444,-407446,-0.693618175184255,-0.06692829846919661,same
