trace,l1_fraction,l2_multiplier,cell,target,seed,left_variant,right_variant,comparison,measured_requests,requested_tokens,left_avoided_tokens,right_avoided_tokens,saved_requests,lost_requests,unchanged_requests,differing_requests,saved_tokens,lost_tokens,net_avoided_tokens,net_fraction_of_input,net_input_percentage_points,best_heap_arm,best_heap_avoided_tokens,left_delta_vs_best_heap_tokens,best_sampled_arm,best_sampled_avoided_tokens,left_delta_vs_best_sampled_tokens,offline_avoided_tokens
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,all,none,all-none,5183,58742117,3358945,3477729,8,67,5108,75,7680,126464,-118784,-0.002022126645520794,-0.2022126645520794,lfu,3672801,-313856,lfu_s,3317278,41667,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,0,direct_child,all,direct_child-all,5183,58742117,3388641,3354849,31,16,5136,47,57856,24064,33792,0.0005752601663981568,0.057526016639815686,lfu,3672801,-284160,lfu_s,3268638,120003,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,1,direct_child,all,direct_child-all,5183,58742117,3360993,3346657,41,23,5119,64,51200,36864,14336,0.00024404976756285443,0.024404976756285442,lfu,3672801,-311808,lfu_s,3293409,67584,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,2,direct_child,all,direct_child-all,5183,58742117,3400929,3376353,36,23,5124,59,62976,38400,24576,0.00041837103010775045,0.04183710301077505,lfu,3672801,-271872,lfu_s,3282462,118467,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,3,direct_child,all,direct_child-all,5183,58742117,3395297,3375841,34,24,5125,58,52224,32768,19456,0.0003312103988353024,0.03312103988353025,lfu,3672801,-277504,lfu_s,3345121,50176,7613350
conversation_trace,0.0025,1.0,"l1=0.0025,l2x1",next_use,4,direct_child,all,direct_child-all,5183,58742117,3411681,3358945,47,16,5120,63,70144,17408,52736,0.0008977545021062145,0.08977545021062146,lfu,3672801,-261120,lfu_s,3317278,94403,7613350
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,0,direct_child,none,direct_child-none,5183,58742117,11720410,11727401,171,176,4836,347,286589,293580,-6991,-0.00011901171352064142,-0.011901171352064142,lru_2hit,12670365,-949955,lru_2hit_s,12033437,-313027,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,1,direct_child,none,direct_child-none,5183,58742117,11691869,11700573,174,202,4807,376,290816,299520,-8704,-0.00014817307316316162,-0.014817307316316163,lru_2hit,12670365,-978496,lru_2hit_s,11981725,-289856,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,2,direct_child,none,direct_child-none,5183,58742117,11656716,11686764,196,164,4823,360,281248,311296,-30048,-0.0005115239547801792,-0.05115239547801793,lru_2hit,12670365,-1013649,lru_2hit_s,12115357,-458641,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,3,direct_child,none,direct_child-none,5183,58742117,11614758,11722779,174,184,4825,358,250042,358063,-108021,-0.0018389020606799037,-0.18389020606799036,lru_2hit,12670365,-1055607,lru_2hit_s,12020637,-405879,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,4,direct_child,none,direct_child-none,5183,58742117,11603582,11700251,168,192,4823,360,291939,388608,-96669,-0.001645650598530523,-0.16456505985305228,lru_2hit,12670365,-1066783,lru_2hit_s,12016565,-412983,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,0,all,none,all-none,5183,58742117,11651855,11727401,176,181,4826,357,275159,350705,-75546,-0.0012860619238492885,-0.12860619238492885,lru_2hit,12670365,-1018510,lru_2hit_s,12033437,-381582,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,1,all,none,all-none,5183,58742117,11613648,11700573,170,208,4805,378,247908,334833,-86925,-0.0014797730221401452,-0.14797730221401453,lru_2hit,12670365,-1056717,lru_2hit_s,11981725,-368077,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,2,all,none,all-none,5183,58742117,11614988,11686764,184,182,4817,366,298400,370176,-71776,-0.0012218830996506306,-0.12218830996506305,lru_2hit,12670365,-1055377,lru_2hit_s,12115357,-500369,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,3,all,none,all-none,5183,58742117,11566837,11722779,158,185,4840,343,239834,395776,-155942,-0.0026546881175562673,-0.2654688117556267,lru_2hit,12670365,-1103528,lru_2hit_s,12020637,-453800,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,4,all,none,all-none,5183,58742117,11582316,11700251,159,209,4815,368,253952,371887,-117935,-0.002007673642405499,-0.20076736424054992,lru_2hit,12670365,-1088049,lru_2hit_s,12016565,-434249,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,0,direct_child,all,direct_child-all,5183,58742117,11720410,11651855,193,172,4818,365,335726,267171,68555,0.001167050210328647,0.11670502103286472,lru_2hit,12670365,-949955,lru_2hit_s,12033437,-313027,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,1,direct_child,all,direct_child-all,5183,58742117,11691869,11613648,188,172,4823,360,311793,233572,78221,0.0013315999489769835,0.13315999489769836,lru_2hit,12670365,-978496,lru_2hit_s,11981725,-289856,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,2,direct_child,all,direct_child-all,5183,58742117,11656716,11614988,193,173,4817,366,350705,308977,41728,0.0007103591448704513,0.07103591448704513,lru_2hit,12670365,-1013649,lru_2hit_s,12115357,-458641,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,3,direct_child,all,direct_child-all,5183,58742117,11614758,11566837,180,197,4806,377,393283,345362,47921,0.0008157860568763635,0.08157860568763635,lru_2hit,12670365,-1055607,lru_2hit_s,12020637,-405879,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",binary,4,direct_child,all,direct_child-all,5183,58742117,11603582,11582316,194,157,4832,351,300306,279040,21266,0.00036202304387497646,0.03620230438749764,lru_2hit,12670365,-1066783,lru_2hit_s,12016565,-412983,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,0,direct_child,none,direct_child-none,5183,58742117,11794166,11777513,215,214,4754,429,458048,441395,16653,0.00028349335792579627,0.028349335792579623,lru_2hit,12670365,-876199,lru_2hit_s,12033437,-239271,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,1,direct_child,none,direct_child-none,5183,58742117,11711821,11887320,209,220,4754,429,318976,494475,-175499,-0.002987617896031905,-0.2987617896031905,lru_2hit,12670365,-958544,lru_2hit_s,11981725,-269904,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,2,direct_child,none,direct_child-none,5183,58742117,11750772,11732340,210,237,4736,447,490496,472064,18432,0.00031377827258081286,0.03137782725808128,lru_2hit,12670365,-919593,lru_2hit_s,12115357,-364585,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,3,direct_child,none,direct_child-none,5183,58742117,11773509,11780393,226,206,4751,432,448512,455396,-6884,-0.00011719019251553362,-0.011719019251553362,lru_2hit,12670365,-896856,lru_2hit_s,12020637,-247128,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,4,direct_child,none,direct_child-none,5183,58742117,11861395,11798449,223,199,4761,422,490496,427550,62946,0.0010715650578272486,0.10715650578272486,lru_2hit,12670365,-808970,lru_2hit_s,12016565,-155170,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,0,all,none,all-none,5183,58742117,11785482,11777513,212,212,4759,424,415145,407176,7969,0.0001356607559785426,0.013566075597854261,lru_2hit,12670365,-884883,lru_2hit_s,12033437,-247955,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,1,all,none,all-none,5183,58742117,11704180,11887320,218,227,4738,445,394396,577536,-183140,-0.0031176949240695564,-0.3117694924069556,lru_2hit,12670365,-966185,lru_2hit_s,11981725,-277545,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,2,all,none,all-none,5183,58742117,11695638,11732340,224,219,4740,443,463360,500062,-36702,-0.0006247987283127709,-0.06247987283127709,lru_2hit,12670365,-974727,lru_2hit_s,12115357,-419719,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,3,all,none,all-none,5183,58742117,11747297,11780393,207,218,4758,425,423521,456617,-33096,-0.0005634117680845585,-0.05634117680845585,lru_2hit,12670365,-923068,lru_2hit_s,12020637,-273340,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,4,all,none,all-none,5183,58742117,11829870,11798449,226,208,4749,434,417174,385753,31421,0.0005348973037522635,0.05348973037522635,lru_2hit,12670365,-840495,lru_2hit_s,12016565,-186695,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,0,direct_child,all,direct_child-all,5183,58742117,11794166,11785482,199,207,4777,406,414781,406097,8684,0.00014783260194725363,0.014783260194725362,lru_2hit,12670365,-876199,lru_2hit_s,12033437,-239271,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,1,direct_child,all,direct_child-all,5183,58742117,11711821,11704180,217,219,4747,436,451584,443943,7641,0.00013007702803765142,0.013007702803765142,lru_2hit,12670365,-958544,lru_2hit_s,11981725,-269904,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,2,direct_child,all,direct_child-all,5183,58742117,11750772,11695638,141,175,4867,316,324958,269824,55134,0.0009385770008935837,0.09385770008935837,lru_2hit,12670365,-919593,lru_2hit_s,12115357,-364585,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,3,direct_child,all,direct_child-all,5183,58742117,11773509,11747297,222,184,4777,406,424960,398748,26212,0.00044622157556902485,0.044622157556902485,lru_2hit,12670365,-896856,lru_2hit_s,12020637,-247128,23441857
conversation_trace,0.01,4.0,"l1=0.01,l2x4",next_use,4,direct_child,all,direct_child-all,5183,58742117,11861395,11829870,181,168,4834,349,412347,380822,31525,0.0005366677540749851,0.05366677540749851,lru_2hit,12670365,-808970,lru_2hit_s,12016565,-155170,23441857
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,0,direct_child,none,direct_child-none,5183,58742117,10922465,10024939,490,145,4548,635,1181174,283648,897526,0.015279088426452182,1.5279088426452183,lru,17433812,-6511347,lru_s,16351126,-5428661,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,1,direct_child,none,direct_child-none,5183,58742117,10661979,9916263,519,159,4505,678,1022976,277260,745716,0.012694741662102509,1.2694741662102509,lru,17433812,-6771833,lru_s,16284792,-5622813,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,2,direct_child,none,direct_child-none,5183,58742117,10775643,9962987,513,135,4535,648,1057280,244624,812656,0.013834298821746584,1.3834298821746585,lru,17433812,-6658169,lru_s,16360413,-5584770,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,3,direct_child,none,direct_child-none,5183,58742117,10728539,10055659,492,164,4527,656,934912,262032,672880,0.011454813588008754,1.1454813588008754,lru,17433812,-6705273,lru_s,16358745,-5630206,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,4,direct_child,none,direct_child-none,5183,58742117,10729532,9976411,500,152,4531,652,1078241,325120,753121,0.012820801129792446,1.2820801129792445,lru,17433812,-6704280,lru_s,16348637,-5619105,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,0,all,none,all-none,5183,58742117,10715812,10024939,497,172,4514,669,1010761,319888,690873,0.011761118517400386,1.1761118517400386,lru,17433812,-6718000,lru_s,16351126,-5635314,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,1,all,none,all-none,5183,58742117,10770077,9916263,573,141,4469,714,1095346,241532,853814,0.014534954536963657,1.4534954536963658,lru,17433812,-6663735,lru_s,16284792,-5514715,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,2,all,none,all-none,5183,58742117,10654373,9962987,536,169,4478,705,1013834,322448,691386,0.011769851604088426,1.1769851604088426,lru,17433812,-6779439,lru_s,16360413,-5706040,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,3,all,none,all-none,5183,58742117,10799243,10055659,521,157,4505,678,990880,247296,743584,0.012658447430486715,1.2658447430486715,lru,17433812,-6634569,lru_s,16358745,-5559502,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,4,all,none,all-none,5183,58742117,10822259,9976411,547,135,4501,682,1090584,244736,845848,0.014399344851667502,1.4399344851667502,lru,17433812,-6611553,lru_s,16348637,-5526378,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,0,direct_child,all,direct_child-all,5183,58742117,10922465,10715812,369,333,4481,702,753981,547328,206653,0.0035179699090517966,0.3517969909051797,lru,17433812,-6511347,lru_s,16351126,-5428661,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,1,direct_child,all,direct_child-all,5183,58742117,10661979,10770077,335,397,4451,732,589824,697922,-108098,-0.0018402128748611494,-0.18402128748611493,lru,17433812,-6771833,lru_s,16284792,-5622813,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,2,direct_child,all,direct_child-all,5183,58742117,10775643,10654373,365,342,4476,707,678400,557130,121270,0.0020644472176581585,0.20644472176581583,lru,17433812,-6658169,lru_s,16360413,-5584770,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,3,direct_child,all,direct_child-all,5183,58742117,10728539,10799243,328,380,4475,708,574464,645168,-70704,-0.0012036338424779617,-0.12036338424779618,lru,17433812,-6705273,lru_s,16358745,-5630206,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",binary,4,direct_child,all,direct_child-all,5183,58742117,10729532,10822259,338,384,4461,722,548945,641672,-92727,-0.001578543721875056,-0.15785437218750561,lru,17433812,-6704280,lru_s,16348637,-5619105,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,0,direct_child,none,direct_child-none,5183,58742117,9262299,8470235,610,171,4402,781,1097728,305664,792064,0.013483749657847707,1.3483749657847708,lru,17433812,-8171513,lru_s,16351126,-7088827,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,1,direct_child,none,direct_child-none,5183,58742117,9490083,8408803,608,166,4409,774,1267136,185856,1081280,0.018407235816850113,1.8407235816850114,lru,17433812,-7943729,lru_s,16284792,-6794709,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,2,direct_child,none,direct_child-none,5183,58742117,9327200,8438368,576,175,4432,751,1154048,265216,888832,0.015131085588896975,1.5131085588896975,lru,17433812,-8106612,lru_s,16360413,-7033213,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,3,direct_child,none,direct_child-none,5183,58742117,9445203,8488031,602,160,4421,762,1189376,232204,957172,0.016294475733654612,1.6294475733654612,lru,17433812,-7988609,lru_s,16358745,-6913542,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,4,direct_child,none,direct_child-none,5183,58742117,9344608,8481508,589,170,4424,759,1117052,253952,863100,0.014693035322509741,1.4693035322509742,lru,17433812,-8089204,lru_s,16348637,-7004029,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,0,all,none,all-none,5183,58742117,9344169,8470235,643,170,4370,813,1190854,316920,873934,0.014877468580167105,1.4877468580167106,lru,17433812,-8089643,lru_s,16351126,-7006957,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,1,all,none,all-none,5183,58742117,9280482,8408803,629,180,4374,809,1122047,250368,871679,0.014839080450573479,1.4839080450573479,lru,17433812,-8153330,lru_s,16284792,-7004310,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,2,all,none,all-none,5183,58742117,9431681,8438368,608,179,4396,787,1245598,252285,993313,0.016909724244361164,1.6909724244361162,lru,17433812,-8002131,lru_s,16360413,-6928732,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,3,all,none,all-none,5183,58742117,9364940,8488031,616,176,4391,792,1155949,279040,876909,0.01492811367353342,1.492811367353342,lru,17433812,-8068872,lru_s,16358745,-6993805,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,4,all,none,all-none,5183,58742117,9319966,8481508,623,176,4384,799,1102138,263680,838458,0.014273540737389494,1.4273540737389496,lru,17433812,-8113846,lru_s,16348637,-7028671,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,0,direct_child,all,direct_child-all,5183,58742117,9262299,9344169,394,406,4383,800,587256,669126,-81870,-0.0013937189223193981,-0.13937189223193983,lru,17433812,-8171513,lru_s,16351126,-7088827,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,1,direct_child,all,direct_child-all,5183,58742117,9490083,9280482,393,380,4410,773,747456,537855,209601,0.0035681553662766357,0.3568155366276636,lru,17433812,-7943729,lru_s,16284792,-6794709,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,2,direct_child,all,direct_child-all,5183,58742117,9327200,9431681,360,393,4430,753,578429,682910,-104481,-0.0017786386554641876,-0.17786386554641875,lru,17433812,-8106612,lru_s,16360413,-7033213,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,3,direct_child,all,direct_child-all,5183,58742117,9445203,9364940,396,414,4373,810,658432,578169,80263,0.0013663620601211904,0.13663620601211904,lru,17433812,-7988609,lru_s,16358745,-6913542,23703489
conversation_trace,0.02,4.0,"l1=0.02,l2x4",next_use,4,direct_child,all,direct_child-all,5183,58742117,9344608,9319966,369,415,4399,784,695164,670522,24642,0.00041949458512024687,0.04194945851202469,lru,17433812,-8089204,lru_s,16348637,-7004029,23703489
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,direct_child,none,direct_child-none,9997,83026370,30340580,30374372,20,35,9942,55,25088,58880,-33792,-0.00040700322078395093,-0.04070032207839509,lfu,30932586,-592006,lfu_s,30564132,-223552,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,direct_child,none,direct_child-none,9997,83026370,30332388,30372836,18,45,9934,63,24064,64512,-40448,-0.0004871705218474564,-0.04871705218474564,lfu,30932586,-600198,lfu_s,30565264,-232876,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,direct_child,none,direct_child-none,9997,83026370,30328292,30372836,15,49,9933,64,16384,60928,-44544,-0.0005365042455788444,-0.05365042455788444,lfu,30932586,-604294,lfu_s,30574456,-246164,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,direct_child,none,direct_child-none,9997,83026370,30344164,30394340,22,43,9932,65,16896,67072,-50176,-0.0006043381157095029,-0.06043381157095029,lfu,30932586,-588422,lfu_s,30566692,-222528,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,direct_child,none,direct_child-none,9997,83026370,30339044,30376420,21,43,9933,64,27136,64512,-37376,-0.0004501702290489154,-0.04501702290489154,lfu,30932586,-593542,lfu_s,30557580,-218536,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,all,none,all-none,9997,83026370,30326244,30374372,18,43,9936,61,22528,70656,-48128,-0.0005796712538438088,-0.05796712538438089,lfu,30932586,-606342,lfu_s,30564132,-237888,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,all,none,all-none,9997,83026370,30315408,30372836,18,43,9936,61,14764,72192,-57428,-0.000691683858995642,-0.0691683858995642,lfu,30932586,-617178,lfu_s,30565264,-249856,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,all,none,all-none,9997,83026370,30299155,30372836,12,50,9935,62,8751,82432,-73681,-0.000887440941956152,-0.0887440941956152,lfu,30932586,-633431,lfu_s,30574456,-275301,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,3,all,none,all-none,9997,83026370,30326648,30394340,12,46,9939,58,11264,78956,-67692,-0.0008153072331116006,-0.08153072331116006,lfu,30932586,-605938,lfu_s,30566692,-240044,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,4,all,none,all-none,9997,83026370,30324196,30376420,18,39,9940,57,14848,67072,-52224,-0.0006290049775751969,-0.06290049775751969,lfu,30932586,-608390,lfu_s,30557580,-233384,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,0,direct_child,all,direct_child-all,9997,83026370,30340580,30326244,31,17,9949,48,40448,26112,14336,0.00017266803305985797,0.017266803305985796,lfu,30932586,-592006,lfu_s,30564132,-223552,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,1,direct_child,all,direct_child-all,9997,83026370,30332388,30315408,32,27,9938,59,38400,21420,16980,0.00020451333714818556,0.020451333714818557,lfu,30932586,-600198,lfu_s,30565264,-232876,34821090
toolagent_trace,0.0025,1.0,"l1=0.0025,l2x1",binary,2,direct_child,all,direct_child-all,9997,83026370,30328292,30299155,30,28,9939,58,48640,19503,29137,0.0003509366963773076,0.03509366963773076,lfu,30932586,-604294,lfu_s,30574456,-246164,34821090
