trace,size_model,capacity_fraction,longest_first_avoided_prefill_tokens,lru_avoided_prefill_tokens,longest_minus_lru_fraction,lru_2hit_avoided_prefill_tokens,longest_minus_lru_2hit_fraction,lfu_avoided_prefill_tokens,longest_minus_lfu_fraction,frequency_x_prefix_length_avoided_prefill_tokens,longest_minus_frequency_x_prefix_length_fraction,structural_avoided_prefill_tokens,longest_minus_structural_fraction
synthetic_trace,fixed_block,0.005,851968,1149240,-0.25866833733597855,1305600,-0.3474509803921569,1567284,-0.45640483792343955,1009152,-0.15575849822425164,980480,-0.13107049608355092
synthetic_trace,fixed_block,0.01,1653760,2251172,-0.26537821188252164,2400090,-0.31095917236436965,2789441,-0.4071356949295576,1821184,-0.09193140286758504,1745920,-0.05278592375366569
synthetic_trace,fixed_block,0.02,1694720,4696768,-0.6391731505580007,4887898,-0.6532824539300943,4575822,-0.6296359430065243,4598784,-0.6314851926074371,3305984,-0.48737803933715346
synthetic_trace,fixed_block,0.05,4771323,9410318,-0.4929689942465281,9968330,-0.5213518212177968,8394622,-0.4316214595487444,8505536,-0.43903323670607003,7249600,-0.3418501710439197
synthetic_trace,fixed_block,0.1,9218399,15563881,-0.4077056358886321,16516629,-0.44187164342070046,14304746,-0.3555705917462638,13800357,-0.33201735288442175,13499584,-0.31713458725839255
synthetic_trace,packed,0.001,167936,219136,-0.2336448598130841,250368,-0.3292433537832311,300570,-0.4412749110024287,295936,-0.43252595155709345,219136,-0.2336448598130841
synthetic_trace,packed,0.0025,585728,472576,0.23943661971830985,598016,-0.02054794520547945,809524,-0.27645381730498414,661504,-0.11455108359133127,624128,-0.06152584085315833
synthetic_trace,packed,0.005,851968,1174328,-0.2745059302000804,1307648,-0.3484729835552075,1567796,-0.45658236148070286,1009152,-0.15575849822425164,980480,-0.13107049608355092
synthetic_trace,packed,0.01,1660416,2281380,-0.27218788627935725,2403674,-0.3092174729185405,2792001,-0.4052953419429291,1821184,-0.08827663761596852,1745920,-0.04897360703812317
synthetic_trace,packed,0.02,1694720,4728512,-0.6415954955808508,4897626,-0.6539711280526525,4579406,-0.6299258026040931,4600120,-0.6315922193334087,3305984,-0.48737803933715346
synthetic_trace,packed,0.05,4688891,9505038,-0.5066941342054603,9970890,-0.5297419789005796,8397182,-0.4416113643839088,8506560,-0.4487911682278148,7249600,-0.3532207294195542
synthetic_trace,packed,0.1,9074015,15877701,-0.4285057389605712,16541205,-0.451429626801675,14313450,-0.36604976438245146,13807013,-0.342796664274887,13499584,-0.32783002794752786
toolagent_trace,fixed_block,0.001,5873664,47694444,-0.8768480454452934,65633695,-0.910508405781512,72441856,-0.918918918918919,71857152,-0.9182591595057928,72356864,-0.9188236792572989
toolagent_trace,fixed_block,0.0025,6358528,69172600,-0.9080773601107953,71615486,-0.9112129463172253,73752064,-0.9137850840350719,73102848,-0.9130194216236281,73669632,-0.9136886145976676
toolagent_trace,fixed_block,0.005,6380544,71297605,-0.9105082982801456,72937617,-0.9125205310724643,76212871,-0.916279967985985,74168832,-0.9139727048688052,75996672,-0.9160417971986984
toolagent_trace,fixed_block,0.01,6793216,72610869,-0.9064435380879411,77618634,-0.9124795728819448,79192838,-0.9142193136202544,75792896,-0.9103713361210001,79177728,-0.9142029435348283
toolagent_trace,fixed_block,0.02,8464182,76171714,-0.888880247594271,86064552,-0.9016530987113022,83032640,-0.8980619910435221,78413312,-0.892056823208794,82906624,-0.8979070478132122
toolagent_trace,fixed_block,0.05,13451658,93195333,-0.8556616778224292,94650922,-0.8578813843989813,90976576,-0.8521415226706268,83760123,-0.8394025997311394,91074589,-0.8523006455730479
toolagent_trace,fixed_block,0.1,25241868,105267058,-0.7602111384171105,95575284,-0.7358954434286589,99561230,-0.7464689015995484,88865607,-0.7159545874704935,99942510,-0.7474361210259778
toolagent_trace,packed,0.001,5873664,47700588,-0.876863907841136,65633695,-0.910508405781512,72441856,-0.918918918918919,71857152,-0.9182591595057928,72356864,-0.9188236792572989
toolagent_trace,packed,0.0025,6359040,69198712,-0.9081046479593435,71615998,-0.9112064318366407,73754624,-0.9137811345902869,73102848,-0.9130124177925325,73669632,-0.9136816646511822
toolagent_trace,packed,0.005,6384640,71362371,-0.910532120632595,72944273,-0.9124723609213297,76217479,-0.9162312886260644,74168832,-0.9139174795148453,75996672,-0.9159879001017308
toolagent_trace,packed,0.01,6692352,72732660,-0.9079869758647628,77632974,-0.9137949809832095,79201030,-0.9155017049652006,75792896,-0.9117021204731377,79177728,-0.9154768371226818
toolagent_trace,packed,0.02,8585014,76760882,-0.8881589974435156,86086056,-0.9002740467050785,83045952,-0.8966233296958291,78391808,-0.8904858272946071,82906624,-0.8964496009390034
toolagent_trace,packed,0.05,13735818,94162336,-0.8541261975488799,94665770,-0.8549019566417724,91174720,-0.8493462003502725,83841531,-0.8361692846472472,91074589,-0.8491805656130933
toolagent_trace,packed,0.1,25109327,106221379,-0.7636132458796265,95575284,-0.7372822140920868,99800762,-0.7484054580665426,88901025,-0.7175586333228441,99942510,-0.7487622934425001
