trace,l1_policy,l1_fraction,l2_multiplier,total_fraction,requested_tokens,l1_only_avoided_tokens,rescue_ceiling_fraction_of_input,offline_tree_extra_tokens,offline_tree_extra_fraction_of_input,offline_tree_over_rescue_ceiling,offline_independent_extra_tokens,best_generic_policy,best_generic_extra_tokens,best_generic_extra_fraction_of_input,room_over_generic_fraction,dependency_cost_fraction_lru,dependency_cost_fraction_lfu,dependency_cost_fraction_lru_2hit,dependency_cost_fraction_offline_next_use,dependency_cost_fraction_max,standalone_offline_cost_fraction,single_tier_offline_avoided_tokens,single_tier_lru_avoided_tokens,pass_absolute,pass_dependency,pass_room,pass_all
conversation_trace,lru,0.0025,16.0,0.0425,58742117,2662942,0.3581850310229711,20579235,0.3503318581453236,0.9780750947206839,20587427,lru_2hit,9659386,0.16443714481723565,0.5306246320623678,0.0,0.0,0.0,0.00039791276491229333,0.00039791276491229333,0.0037070377008669177,23392705,10835586,True,False,True,False
conversation_trace,lru,0.01,1.0,0.02,58742117,3218284,0.34873113272373213,12961443,0.2206499129066118,0.6327221524021849,13191307,lru_2hit,3639914,0.06196429726902761,0.7191737061992249,0.0,0.0,0.0,0.017425415085859194,0.017425415085859194,0.019986046306726804,19469473,4770907,True,False,True,False
conversation_trace,lru,0.01,2.0,0.03,58742117,3218284,0.34873113272373213,16850717,0.28685920529558034,0.8225798570236422,17036573,lru_2hit,6675264,0.113636762529345,0.6038587556838085,0.0,0.0,0.0,0.010909236264828613,0.010909236264828613,0.012800879630225824,21826628,7645104,True,False,True,False
conversation_trace,lru,0.01,4.0,0.05,58742117,3218284,0.34873113272373213,20223573,0.34427722446571,0.9872282459462817,20256341,lru_2hit,9452081,0.16090807554654524,0.5326206205006405,0.0,0.0,0.0,0.0016176662902742407,0.0016176662902742407,0.005012764064984956,23703489,12306050,True,False,True,False
conversation_trace,lru,0.01,8.0,0.09,58742117,3218284,0.34873113272373213,20485205,0.34873113272373213,1.0,20485205,lru,13313649,0.22664571316011645,0.3500846586597498,0.0,0.0,0.0,0.0,0.0,0.0,23703489,16532445,True,False,True,False
conversation_trace,lru,0.02,1.0,0.04,58742117,4770907,0.3222999606908958,16077226,0.27369163423238557,0.8491829587744556,16240042,lru_2hit,6650974,0.11322326023762473,0.5863108474061384,0.0,0.0,0.0,0.010025589835297223,0.010025589835297223,0.03718825623276055,23165889,10318989,True,False,True,False
conversation_trace,lru,0.02,2.0,0.06,58742117,4770907,0.3222999606908958,18932582,0.3222999606908958,1.0,18932582,lru,9109435,0.15507502053424463,0.5188487761468562,0.0,0.0,0.0,0.0,0.0,0.012629233561486753,23703489,13881366,True,False,True,False
conversation_trace,lru,0.02,4.0,0.1,58742117,4770907,0.3222999606908958,18932582,0.3222999606908958,1.0,18932582,lru,12662905,0.21556773311387467,0.3311580533495114,0.0,0.0,0.0,0.0,0.0,0.0,23703489,17433812,True,False,True,False
synthetic_trace,lfu,0.0025,1.0,0.005,32087376,754176,0.87559743121407,2219309,0.06916455243956376,0.07899126924534583,3351203,lfu,638464,0.019897669413665987,0.7123140581144852,0.0,0.0,0.0,0.3377575157339021,0.3377575157339021,-0.4319650846276927,5520365,971576,True,True,True,True
synthetic_trace,lfu,0.0025,2.0,0.0075,32087376,754176,0.87559743121407,4281085,0.13341960402122005,0.15237550872691064,5376051,lfu,1176064,0.03665192192717784,0.7252883322802514,0.0,0.0,0.0,0.20367477912690932,0.20367477912690932,-0.2106643526115459,7051764,1513219,True,True,True,True
synthetic_trace,lfu,0.0025,4.0,0.0125,32087376,754176,0.87559743121407,7210780,0.22472326811640814,0.2566513560973054,8015951,lfu,2292237,0.07143734657517647,0.6821097024177689,0.0,0.0,0.0,0.10044609803627792,0.10044609803627792,-0.07544995132288046,9312140,2632749,True,True,True,True
synthetic_trace,lfu,0.0025,8.0,0.0225,32087376,754176,0.87559743121407,10708060,0.3337156643784147,0.3811291039487146,11217081,lru_2hit,4089344,0.12744401411944686,0.6181059874524424,0.0,0.0,0.0,0.04537909639771702,0.04537909639771702,-0.02828953143706703,12195513,4563642,True,False,True,False
synthetic_trace,lfu,0.0025,16.0,0.0425,32087376,754176,0.87559743121407,14193621,0.4423428391277616,0.5051897405802412,15055317,lru_2hit,7082313,0.22071960636482085,0.5010214095472889,0.0,0.0,0.0,0.05723532755902782,0.05723532755902782,-0.04747357985675396,15901864,7299000,True,False,True,False
synthetic_trace,lfu,0.01,1.0,0.02,32087376,2482701,0.8217281151316331,6916869,0.21556355994955773,0.2623295418278666,7495316,lru_2hit,2030592,0.06328320520817907,0.7064290215703087,0.0,0.0,0.0,0.07717446469234919,0.07717446469234919,-0.0018985468714240504,11591865,4297568,True,False,True,False
synthetic_trace,lfu,0.01,2.0,0.03,32087376,2482701,0.8217281151316331,9778157,0.3047353264411524,0.3708469028011007,10295509,lru_2hit,3858944,0.12026362018508463,0.6053505788463,0.0,0.0,0.0,0.05025025960348342,0.05025025960348342,0.004876481324650443,13732201,5622588,True,False,True,False
synthetic_trace,lfu,0.01,4.0,0.05,32087376,2482701,0.8217281151316331,13316227,0.41499893914666003,0.5050319339264437,14024043,lru_2hit,6474569,0.20177932280906982,0.5137835214133853,0.0,0.0,0.0,0.05047160793788211,0.05047160793788211,-0.007810245349527309,17082098,8260958,True,False,True,False
synthetic_trace,lfu,0.01,8.0,0.09,32087376,2482701,0.8217281151316331,18298667,0.5702762045734123,0.6939962185449374,18605867,lru_2hit,10420871,0.32476544669779167,0.43051201489157653,0.0,0.0,0.0,0.016510920990674607,0.016510920990674607,0.008851355128764298,21349985,11947719,True,False,True,False
synthetic_trace,lfu,0.02,1.0,0.04,32087376,3986445,0.7748640773866956,9058130,0.2822957539438563,0.3643164810219699,9470802,lru_2hit,3602249,0.11226374509402078,0.6023186905023443,0.0,0.0,0.0,0.04357307860516987,0.04357307860516987,0.034439889911052284,15527902,7146812,True,False,True,False
synthetic_trace,lfu,0.02,2.0,0.06,32087376,3986445,0.7748640773866956,12479533,0.38892345076767887,0.5019247402452324,13051437,lru_2hit,5919561,0.1844825516427395,0.5256584521231684,0.0,0.0,0.0,0.04381923615001168,0.04381923615001168,0.018555982824036765,18416197,9294973,True,False,True,False
synthetic_trace,lfu,0.02,4.0,0.1,32087376,3986445,0.7748640773866956,17217850,0.5365926462793342,0.6924990613696341,17504570,lru_2hit,9812615,0.3058092067110754,0.4300905746071664,0.0,0.0,0.0,0.016379722552453443,0.016379722552453443,0.025472286028743425,22051338,13373701,True,False,True,False
synthetic_trace,lru,0.0025,1.0,0.005,32087376,392704,0.8868626714755361,2235242,0.06966110285864448,0.07854778997828872,3433578,lfu,743424,0.02316873776154211,0.6674078242982192,0.0,0.0,0.0,0.3490050320685885,0.3490050320685885,-0.495420182691628,5520365,971576,True,True,True,True
synthetic_trace,lru,0.0025,2.0,0.0075,32087376,392704,0.8868626714755361,4395592,0.13698820370977047,0.15446382863521985,5523556,lfu,1373184,0.042795147848798856,0.6875997590313204,0.0,0.0,0.0,0.20420975183378243,0.20420975183378243,-0.2280684831531225,7051764,1513219,True,True,True,True
synthetic_trace,lru,0.0025,4.0,0.0125,32087376,392704,0.8868626714755361,7432108,0.23162093403960485,0.261168883852379,8198835,lfu,2486285,0.077484833911006,0.6654670518781481,0.0,0.0,0.0,0.09351657887980426,0.09351657887980426,-0.08208101927474681,9312140,2632749,True,False,True,False
synthetic_trace,lru,0.0025,8.0,0.0225,32087376,392704,0.8868626714755361,11076866,0.3452094680474963,0.3892479401271303,11516674,lru_2hit,4204544,0.13103421108662797,0.6204211552256749,0.0,0.0,0.0,0.038188803468779266,0.038188803468779266,-0.020753884717933754,12195513,4563642,True,False,True,False
synthetic_trace,lru,0.0025,16.0,0.0425,32087376,392704,0.8868626714755361,14509291,0.4521806644457309,0.5098654831118397,15287854,lru_2hit,7400265,0.23062854999424073,0.48996370670351846,0.0,0.0,0.0,0.05092689922339656,0.05092689922339656,-0.04765518866497336,15901864,7299000,True,False,True,False
synthetic_trace,lru,0.01,1.0,0.02,32087376,1979479,0.8374109805675602,6797564,0.21184543105051656,0.25297665777792533,7560467,lfu,2454029,0.07647957876019529,0.6389840536992369,0.0,0.0,0.0,0.10090686197029893,0.10090686197029893,-0.06606631434437396,11591865,4297568,True,True,True,True
synthetic_trace,lru,0.01,2.0,0.03,32087376,1979479,0.8374109805675602,10255800,0.319621024791806,0.38167761375087406,10597338,lru_2hit,3863881,0.12041748131726321,0.6232491858265566,0.0,0.0,0.0,0.03222865968793295,0.03222865968793295,-0.005061136137600187,13732201,5622588,True,False,True,False
synthetic_trace,lru,0.01,4.0,0.05,32087376,1979479,0.8374109805675602,13488182,0.42035790025335823,0.5019732365683313,14345782,lru_2hit,6545737,0.2039972667132395,0.5147057624222449,0.0,0.0,0.0,0.05978063796034263,0.05978063796034263,-0.03938203087710412,17082098,8260958,True,False,True,False
synthetic_trace,lru,0.01,8.0,0.09,32087376,1979479,0.8374109805675602,18737565,0.5839544187097131,0.6973331282495657,18940317,lru_2hit,10851463,0.3381848051395664,0.4208712284653849,0.0,0.0,0.0,0.010704783874525437,0.010704783874525437,0.004071820431310044,21349985,11947719,True,False,True,False
synthetic_trace,lru,0.02,1.0,0.04,32087376,4297568,0.7651679588882556,8461104,0.2636894958316317,0.34461648944992046,9034066,lfu,3030257,0.09443766919426506,0.6418603293376373,0.0,0.0,0.0,0.06342238367530191,0.06342238367530191,-0.01143373252473909,15527902,7146812,True,False,True,False
synthetic_trace,lru,0.02,2.0,0.06,32087376,4297568,0.7651679588882556,11981686,0.37340809669198255,0.48800801491286006,12663390,lru_2hit,5126791,0.15977595051711302,0.5721143919144601,0.0,0.0,0.0,0.0538326625019051,0.0538326625019051,-0.006950941628749076,18416197,9294973,True,False,True,False
synthetic_trace,lru,0.02,4.0,0.1,32087376,4297568,0.7651679588882556,16743954,0.5218237228248268,0.6819727835742184,17071122,lru_2hit,9503367,0.29617152240806477,0.43242993859156564,0.0,0.0,0.0,0.019164996887726535,0.019164996887726535,0.008953918530832085,22051338,13373701,True,False,True,False
toolagent_trace,lfu,0.0025,1.0,0.005,83026370,30853632,0.2204185730389032,4468785,0.053823682764885424,0.24418850926589436,5054513,lfu,1038879,0.012512639056723786,0.767525401199655,0.0,0.0,0.0,0.11588218291257733,0.11588218291257733,-0.03064501872432887,38144389,30066590,True,True,True,True
toolagent_trace,lfu,0.0025,2.0,0.0075,83026370,30853632,0.2204185730389032,7520645,0.09058140202925889,0.41095176681536527,8183638,lfu,1739807,0.020954872530257556,0.7686625282804865,0.0,0.0,0.0,0.08101445836191679,0.08101445836191679,-0.023886780987534977,40344492,30269778,True,False,True,False
toolagent_trace,lfu,0.0025,4.0,0.0125,83026370,30853632,0.2204185730389032,11575143,0.1394152604768822,0.6325023275251668,11997543,lru_2hit,2734789,0.032938800046298546,0.7637360506042993,0.0,0.0,0.0,0.035207208675976404,0.035207208675976404,-0.0001774492116425689,43519735,30765527,True,False,True,False
toolagent_trace,lfu,0.0025,8.0,0.0225,83026370,30853632,0.2204185730389032,15996355,0.1926659566111345,0.8740912980011425,16086467,lru_2hit,6341715,0.07638193744951152,0.603552496803178,0.0,0.0,0.0,0.0056017272158019535,0.0056017272158019535,0.016122547917947556,47103549,32752962,True,False,True,False
toolagent_trace,lfu,0.0025,16.0,0.0425,83026370,30853632,0.2204185730389032,18300554,0.2204185730389032,1.0,18300554,lru_2hit,9210988,0.11094051203250245,0.4966825594460146,0.0,0.0,0.0,0.0,0.0,0.0,49154186,38509606,True,False,True,False
toolagent_trace,lfu,0.01,1.0,0.02,83026370,33195655,0.1922103905060525,11013402,0.13264944619402244,0.6901263029786389,11142938,lru_2hit,2921541,0.035188109512676514,0.7347285607117583,0.0,0.0,0.0,0.011624941285682465,0.011624941285682465,0.08253244546961964,46467157,32176527,True,False,True,False
toolagent_trace,lfu,0.01,2.0,0.03,83026370,33195655,0.1922103905060525,14444816,0.1739786528063313,0.9051469712343824,14539024,lru_2hit,5337763,0.06428997196914667,0.630472066933909,0.0,0.0,0.0,0.006479664659746073,0.006479664659746073,0.062019066217250535,48679144,35304211,True,False,True,False
toolagent_trace,lfu,0.01,4.0,0.05,83026370,33195655,0.1922103905060525,15958531,0.1922103905060525,1.0,15958531,lru,7468966,0.08995896123123293,0.5319765960914573,0.0,0.0,0.0,0.0,0.0,0.0,49154186,39845574,True,False,True,False
toolagent_trace,lfu,0.01,8.0,0.09,83026370,33195655,0.1922103905060525,15958531,0.1922103905060525,1.0,15958531,lru,11516771,0.13871220673624537,0.2783313827569718,0.0,0.0,0.0,0.0,0.0,0.0,49154186,44290436,True,False,True,False
toolagent_trace,lfu,0.02,1.0,0.04,83026370,34243078,0.17959484438498274,13778494,0.1659532266676238,0.9240422643307258,13971518,lru_2hit,4897938,0.05899255862926441,0.644522979071588,0.0,0.0,0.0,0.013815535291154476,0.013815535291154476,0.080301882048938,49154186,37901669,True,False,True,False
toolagent_trace,lfu,0.02,2.0,0.06,83026370,34243078,0.17959484438498274,14911108,0.17959484438498274,1.0,14911108,lru,7129005,0.08586434647209074,0.5218997139582116,0.0,0.0,0.0,0.0,0.0,0.0,49154186,41346148,True,False,True,False
toolagent_trace,lfu,0.02,4.0,0.1,83026370,34243078,0.17959484438498274,14911108,0.17959484438498274,1.0,14911108,lru,10878209,0.131021132201733,0.27046273154214967,0.0,0.0,0.0,0.0,0.0,0.0,49154186,44876128,True,False,True,False
toolagent_trace,lru,0.0025,1.0,0.005,83026370,29393272,0.23800768358293878,5427818,0.06537462736236692,0.27467444066605423,6021440,lfu,1539314,0.018540061428676216,0.7164027975882759,0.0,0.0,0.0,0.0985847239198597,0.0985847239198597,-0.07021090242893184,38144389,30066590,True,False,True,False
toolagent_trace,lru,0.0025,2.0,0.0075,83026370,29393272,0.23800768358293878,8395062,0.10111320054098474,0.42483166517500154,9238440,lfu,2601745,0.03133636939685548,0.6900862673795619,0.0,0.0,0.0,0.09129008793692442,0.09129008793692442,-0.0714952432751539,40344492,30269778,True,False,True,False
toolagent_trace,lru,0.0025,4.0,0.0125,83026370,29393272,0.23800768358293878,12946230,0.15592913432202324,0.6551432793037812,13164342,lfu,3862393,0.04652007548926925,0.7016588613055693,0.0,0.0,0.0,0.016568393619673508,0.016568393619673508,0.004438126002705035,43519735,30765527,True,False,True,False
toolagent_trace,lru,0.0025,8.0,0.0225,83026370,29393272,0.23800768358293878,17006219,0.2048291283841507,0.860598806310275,17260683,lru_2hit,7307700,0.08801661448043556,0.5702924912351182,0.0,0.0,0.0,0.014742406195629686,0.014742406195629686,-0.009398091368810433,47103549,32752962,True,False,True,False
toolagent_trace,lru,0.0025,16.0,0.0425,83026370,29393272,0.23800768358293878,19760914,0.23800768358293878,1.0,19760914,lru_2hit,10445230,0.1258061745924819,0.47141969242920645,0.0,0.0,0.0,0.0,0.0,0.0,49154186,38509606,True,False,True,False
toolagent_trace,lru,0.01,1.0,0.02,83026370,30578881,0.22372777468170654,12826065,0.15448182306416625,0.6904901426921388,13013945,lru_2hit,3834055,0.04617876224144209,0.7010731662438947,0.0,0.0,0.0,0.014436821425017548,0.014436821425017548,0.02897443604098373,46467157,32176527,True,False,True,False
toolagent_trace,lru,0.01,2.0,0.03,83026370,30578881,0.22372777468170654,16485725,0.19856010807168856,0.8875076344641447,16664925,lru_2hit,6959841,0.08382687331747733,0.5778262102515964,0.0,0.0,0.0,0.010753123701426798,0.010753123701426798,0.017397960963196946,48679144,35304211,True,False,True,False
toolagent_trace,lru,0.01,4.0,0.05,83026370,30578881,0.22372777468170654,18575305,0.22372777468170654,1.0,18575305,lru_2hit,9739394,0.11730482736990669,0.4756805339131713,0.0,0.0,0.0,0.0,0.0,0.0,49154186,39845574,True,False,True,False
toolagent_trace,lru,0.01,8.0,0.09,83026370,30578881,0.22372777468170654,18575305,0.22372777468170654,1.0,18575305,lru,13711555,0.16514698884221965,0.2618395767929517,0.0,0.0,0.0,0.0,0.0,0.0,49154186,44290436,True,False,True,False
toolagent_trace,lru,0.02,1.0,0.04,83026370,32176527,0.2044851412870393,15654265,0.18854569939646887,0.9220508551856296,15796089,lru_2hit,6855666,0.08257215147428462,0.56205762455152,0.0,0.0,0.0,0.008978424975954491,0.008978424975954491,0.037756547496800394,49154186,37901669,True,False,True,False
toolagent_trace,lru,0.02,2.0,0.06,83026370,32176527,0.2044851412870393,16977659,0.2044851412870393,1.0,16977659,lru,9170133,0.11044843945363383,0.4598705863982779,0.0,0.0,0.0,0.0,0.0,0.0,49154186,41346148,True,False,True,False
toolagent_trace,lru,0.02,4.0,0.1,83026370,32176527,0.2044851412870393,16977659,0.2044851412870393,1.0,16977659,lru,12699089,0.1529524776284932,0.2520117761818635,0.0,0.0,0.0,0.0,0.0,0.0,49154186,44876128,True,False,True,False
